exp_id,Time,year,month,date,hour,minute,seconds,id,Activity,MentalActivity,HeartRate,age,Gender,Handedness,mood,fresh,hunger,H_since_Sleep,H_since_Eat
35gzbh,Tue Nov 15 2022 12:54:16 GMT+0100 (CET),2022,11,15,12,54,16,Woo55,"Working, Studying",Unsymbolized thinking,72,23,female,right,50,70,100,5,0
29f8q7,Fri Sep 23 2022 08:44:33 GMT+0200 (Centraleuropæisk sommertid),2022,9,23,8,44,33,Cic22,"Showering, Getting Ready",Inner voice,63,22,female,right,83,39,81,0,0
3a15pr,Sun Sep 11 2022 12:36:18 GMT+0200 (Centraleuropæisk sommertid),2022,9,11,12,36,18,Cic22,Listening to music,Sensory awareness,78,22,female,right,90,90,72,3,1
3kzt48,Thu Oct 13 2022 14:07:14 GMT+0200 (Centraleuropæisk sommertid),2022,10,13,14,7,14,Cic22,Chatting,Inner voice,73,22,female,right,70,37,74,5,1
3olhyu,Mon Sep 12 2022 12:04:23 GMT+0200 (Centraleuropæisk sommertid),2022,9,12,12,4,23,Cic22,"Working, Studying",Inner voice,75,22,female,right,74,59,100,5,1
8eogce,Fri Oct 14 2022 21:47:36 GMT+0200 (Centraleuropæisk sommertid),2022,10,14,21,47,36,Cic22,Eating,Inner voice,70,22,female,right,88,41,95,12,0
8uzmxy,Wed Nov 16 2022 18:40:26 GMT+0100 (Centraleuropæisk normaltid),2022,11,16,18,40,26,Cic22,"Sleeping, Resting",Inner voice,64,22,female,right,64,50,35,11,1
de66mh,Sat Sep 10 2022 13:56:28 GMT+0200 (Centraleuropæisk sommertid),2022,9,10,13,56,28,Cic22,Playing,Inner voice,84,22,female,right,89,76,58,5,2
hxe2tq,Fri Nov 11 2022 10:21:11 GMT+0100 (Centraleuropæisk normaltid),2022,11,11,10,21,11,Cic22,Playing,Inner voice,64,22,female,right,93,82,100,1,0
kkgjrv,Thu Sep 08 2022 21:30:01 GMT+0200 (Centraleuropæisk sommertid),2022,9,8,21,30,1,Cic22,Watching TV,Inner voice,66,22,female,right,73,22,100,13,0
mlrtbr,Wed Sep 14 2022 13:37:45 GMT+0200 (Centraleuropæisk sommertid),2022,9,14,13,37,45,Cic22,Eating,Inner voice,68,22,female,right,100,88,100,6,0
nxxllv,Thu Sep 08 2022 16:35:20 GMT+0200 (Centraleuropæisk sommertid),2022,9,8,16,35,20,Cic22,"Working, Studying",Inner voice,78,22,female,right,87,43,86,8,0
o2u7ah,Fri Sep 09 2022 10:18:32 GMT+0200 (Centraleuropæisk sommertid),2022,9,9,10,18,32,Cic22,Watching TV,Inner voice,72,22,female,right,63,68,22,1,13
p122gu,Wed Oct 19 2022 23:56:22 GMT+0200 (Centraleuropæisk sommertid),2022,10,19,23,56,22,Cic22,Chatting,Inner voice,60,22,female,right,91,10,34,15,2
pvf9ra,Tue Sep 13 2022 11:36:54 GMT+0200 (Centraleuropæisk sommertid),2022,9,13,11,36,54,Cic22,"Waiting, Being in line",Inner voice,72,22,female,right,88,85,26,3,14
rodjss,Tue Nov 08 2022 15:03:24 GMT+0100 (Centraleuropæisk normaltid),2022,11,8,15,3,24,Cic22,Leisure,Inner voice,72,22,female,right,65,39,89,6,0
uqnznb,Tue Sep 13 2022 15:48:07 GMT+0200 (Centraleuropæisk sommertid),2022,9,13,15,48,7,Cic22,Leisure,Inner voice,72,22,female,right,100,82,84,8,3
vua8pu,Thu Sep 08 2022 18:25:15 GMT+0200 (Centraleuropæisk sommertid),2022,9,8,18,25,15,Cic22,Doing sport,Sensory awareness,111,22,female,right,77,91,26,10,2
xf9vzt,Mon Sep 19 2022 21:16:05 GMT+0200 (Centraleuropæisk sommertid),2022,9,19,21,16,5,Cic22,Being on the Internet,Inner voice,64,22,female,right,83,24,100,14,1
xvot3t,Thu Sep 22 2022 21:52:07 GMT+0200 (Centraleuropæisk sommertid),2022,9,22,21,52,7,Cic22,Leisure,Inner voice,66,22,female,right,91,13,100,14,1
z51vl0,Sun Oct 16 2022 17:25:21 GMT+0200 (Centraleuropæisk sommertid),2022,10,16,17,25,21,Cic22,Leisure,Inner voice,88,22,female,right,80,44,23,7,2
9yxbqg,Fri Sep 09 2022 10:01:19 GMT+0200 (CEST),2022,9,9,10,1,19,dan72,"Working, Studying",Inner seeing,72,23,female,left,62,61,50,3,1
mo5knv,Fri Nov 11 2022 10:21:27 GMT+0100 (CET),2022,11,11,10,21,27,dan72,"Working, Studying",Unsymbolized thinking,72,23,female,left,72,50,65,3,1
o1zjl6,Sat Oct 08 2022 20:06:39 GMT+0200 (CEST),2022,10,8,20,6,39,dan72,Housework,Inner seeing,72,23,female,left,49,26,100,9,0
r4vo8u,Sat Sep 10 2022 13:55:39 GMT+0200 (CEST),2022,9,10,13,55,39,dan72,"Waiting, Being in line",Sensory awareness,75,23,female,left,70,24,100,4,0
seey0c,Fri Sep 23 2022 09:11:41 GMT+0200 (CEST),2022,9,23,9,11,41,dan72,Eating,Feelings,66,23,female,left,74,13,100,1,0
vy8kww,Thu Sep 15 2022 20:06:56 GMT+0200 (CEST),2022,9,15,20,6,56,dan72,Other,Sensory awareness,66,23,female,left,74,16,86,13,0
jswuu7,Fri Nov 18 2022 13:19:08 GMT+0100 (CET),2022,11,18,13,19,8,dig05,Cooking,Inner voice,78,25,female,right,83,80,46,5,0
0afp3k,Mon Sep 19 2022 22:02:53 GMT+0200 (CEST),2022,9,19,22,2,53,dlg05,"Showering, Getting Ready",Inner voice,69,25,female,right,66,29,72,15,3
0rjln1,Sat Oct 08 2022 20:13:22 GMT+0200 (CEST),2022,10,8,20,13,22,dlg05,Cooking,Inner voice,75,25,female,right,76,38,65,11,1
13kb03,Thu Oct 27 2022 07:35:33 GMT+0200 (CEST),2022,10,27,7,35,33,dlg05,"Sleeping, Resting",Inner voice,60,25,female,right,76,18,38,0,12
2csacb,Tue Oct 11 2022 22:16:59 GMT+0200 (CEST),2022,10,11,22,16,59,dlg05,Watching TV,Inner voice,66,25,female,right,79,32,99,14,1
